aX,aY,aZ,gX,gY,gZ
"
0.857",0.760,-0.206,39.063,19.287,-31.799
"
0.890",0.764,-0.236,44.067,20.569,-33.447
"
0.901",0.737,-0.274,48.096,20.752,-37.048
"
0.898",0.713,-0.314,49.072,20.874,-41.260
"
0.914",0.716,-0.322,45.593,21.057,-45.227
"
0.927",0.736,-0.319,40.039,19.470,-49.438
"
0.929",0.743,-0.298,34.485,15.015,-53.101
"
0.903",0.753,-0.259,29.236,7.324,-55.664
"
0.875",0.769,-0.201,25.085,-1.831,-55.847
"
0.842",0.786,-0.132,22.034,-11.414,-54.321
"
0.832",0.843,-0.053,19.897,-18.738,-53.040
"
0.825",0.891,0.042,19.836,-22.461,-54.871
"
0.772",0.865,0.137,25.269,-23.621,-59.570
"
0.708",0.797,0.175,33.997,-19.165,-61.462
"
0.688",0.727,0.181,39.490,-8.667,-58.960
"
0.697",0.699,0.152,39.246,6.165,-56.335
"
0.743",0.693,0.124,33.691,26.367,-55.420
"
0.821",0.720,0.103,25.879,46.692,-56.458
"
0.886",0.782,0.076,19.958,58.411,-59.570
"
0.931",0.823,0.053,19.531,56.641,-64.575
"
0.915",0.822,0.046,23.560,44.922,-68.665
"
0.869",0.772,0.088,30.090,27.954,-69.580
"
0.803",0.718,0.169,39.124,11.292,-66.162
"
0.761",0.658,0.239,51.819,-3.113,-60.120
"
0.728",0.550,0.279,66.101,-13.062,-54.749
"
0.689",0.436,0.263,79.163,-15.320,-51.941
"
0.723",0.344,0.199,85.083,-9.827,-48.645
"
0.757",0.257,0.143,81.177,-0.793,-45.776
"
0.763",0.182,0.122,71.106,9.155,-44.312
"
0.786",0.135,0.098,61.523,19.958,-42.480
"
0.808",0.088,0.057,55.847,27.100,-37.781
"
0.849",0.039,0.012,52.856,29.114,-31.738
"
0.899",0.008,-0.015,49.438,24.719,-26.672
"
0.927",-0.034,-0.014,45.471,13.672,-22.461
"
0.939",-0.082,-0.026,43.579,0.977,-20.142
"
0.931",-0.154,-0.047,41.870,-8.362,-20.813
"
0.922",-0.214,-0.085,36.499,-12.085,-21.484
"
0.949",-0.251,-0.106,25.757,-11.536,-20.569
"
0.989",-0.263,-0.097,12.268,-10.376,-19.409
"
0.991",-0.278,-0.054,0.977,-13.184,-18.738
"
0.948",-0.323,0.005,-8.057,-16.541,-17.029
"
0.931",-0.373,0.042,-14.465,-13.550,-15.259
"
0.918",-0.426,0.057,-19.653,-5.798,-15.198
"
0.911",-0.473,0.059,-23.987,1.282,-15.564
"
0.942",-0.491,0.042,-26.733,5.371,-15.076
"
0.989",-0.500,0.031,-28.442,4.272,-13.367
"
1.020",-0.534,0.031,-28.503,-3.174,-11.658
"
0.998",-0.585,0.037,-27.039,-16.907,-10.315
"
0.937",-0.657,0.051,-25.085,-33.325,-8.484
"
0.891",-0.712,0.070,-23.254,-45.532,-7.324
"
0.864",-0.739,0.080,-23.804,-52.307,-6.042
"
0.858",-0.727,0.090,-26.978,-53.223,-7.019
"
0.838",-0.688,0.121,-29.907,-48.340,-12.573
"
0.814",-0.621,0.144,-30.212,-38.513,-21.851
"
0.832",-0.554,0.153,-26.306,-25.940,-32.043
"
0.871",-0.533,0.152,-17.456,-10.864,-42.480
"
0.894",-0.537,0.114,-3.235,3.296,-48.645
"
0.971",-0.573,0.033,14.709,12.512,-44.983
"
1.107",-0.605,-0.072,31.555,14.893,-33.203
"
1.228",-0.609,-0.213,45.044,10.986,-19.287
"
1.329",-0.629,-0.302,51.453,2.197,-8.118
"
1.379",-0.629,-0.369,48.767,-5.615,-3.845
"
1.371",-0.627,-0.404,37.598,-10.498,-6.836
"
1.341",-0.599,-0.396,19.897,-14.099,-11.475
"
1.294",-0.564,-0.350,0.977,-17.151,-14.648
"
1.240",-0.510,-0.281,-13.245,-18.677,-17.700
"
1.190",-0.471,-0.208,-20.691,-17.578,-21.790
"
1.128",-0.472,-0.162,-20.935,-15.198,-25.452
"
1.062",-0.503,-0.148,-18.311,-11.902,-27.649
"
0.990",-0.540,-0.142,-17.029,-8.179,-27.405
