aX,aY,aZ,gX,gY,gZ
"
0.206",0.180,-0.879,251.343,231.689,72.510
"
0.307",0.161,-0.951,237.732,226.318,58.838
"
0.404",0.208,-1.018,226.440,207.703,40.527
"
0.437",0.216,-1.137,225.098,171.753,20.630
"
0.417",0.252,-1.296,230.347,125.000,2.625
"
0.303",0.273,-1.512,237.122,78.064,-11.475
"
0.177",0.223,-1.788,241.150,43.152,-22.095
"
0.077",0.104,-2.141,235.107,24.902,-28.076
"
-0.036",0.023,-2.447,213.684,13.855,-26.978
"
-0.166",0.016,-2.739,180.176,10.742,-20.081
"
-0.281",-0.008,-3.048,141.846,18.738,-10.010
"
-0.310",-0.053,-3.413,97.534,35.522,0.977
"
-0.176",-0.164,-3.585,47.119,51.880,11.108
"
0.057",-0.276,-3.420,-8.301,50.842,17.212
"
0.248",-0.259,-2.944,-66.650,25.269,15.259
"
0.289",-0.187,-2.419,-114.746,-13.245,1.953
"
0.205",-0.127,-1.936,-142.883,-54.565,-14.343
"
0.065",-0.134,-1.557,-152.283,-92.102,-24.170
"
-0.024",-0.199,-1.302,-150.940,-116.394,-23.071
"
-0.069",-0.299,-1.198,-148.071,-120.972,-15.991
"
-0.051",-0.401,-1.163,-150.879,-108.337,-7.141
"
0.008",-0.474,-1.171,-161.255,-86.609,0.977
"
0.080",-0.511,-1.180,-179.077,-63.965,7.324
"
0.171",-0.466,-1.153,-202.026,-43.762,10.254
"
0.271",-0.396,-1.108,-222.168,-30.701,10.437
"
0.354",-0.325,-1.053,-235.840,-24.963,8.484
"
0.387",-0.263,-0.919,-242.493,-25.513,6.592
"
0.435",-0.222,-0.823,-241.699,-28.870,5.432
"
0.478",-0.223,-0.726,-233.521,-36.743,4.517
"
0.473",-0.252,-0.646,-223.206,-51.636,3.967
"
0.449",-0.292,-0.578,-213.806,-66.345,2.258
"
0.433",-0.349,-0.533,-208.374,-77.271,-0.061
"
0.399",-0.379,-0.464,-209.106,-83.618,-4.028
"
0.370",-0.374,-0.378,-213.013,-85.388,-9.399
"
0.359",-0.403,-0.330,-216.980,-83.618,-14.648
"
0.350",-0.405,-0.281,-221.680,-80.383,-20.081
"
0.328",-0.384,-0.228,-226.501,-79.102,-24.902
"
0.310",-0.385,-0.172,-228.882,-81.238,-27.832
