aX,aY,aZ,gX,gY,gZ
"
1.175",1.973,0.244,52.246,-87.830,271.790
"
1.342",1.879,0.016,68.665,-56.274,249.573
"
1.602",1.670,-0.339,85.938,-9.460,222.473
"
1.899",1.475,-0.942,97.839,43.274,188.721
"
2.262",1.169,-1.470,98.755,82.336,152.283
"
2.298",0.891,-1.801,87.524,96.680,105.469
"
2.159",0.744,-2.000,63.660,73.975,46.509
"
1.825",0.545,-1.966,32.166,18.494,-5.188
"
1.353",0.578,-1.581,-2.869,-46.448,-51.941
"
0.819",0.707,-1.287,-24.414,-105.713,-85.876
"
0.425",0.710,-0.927,-28.442,-137.512,-96.497
"
0.280",0.648,-0.715,-22.034,-129.395,-90.942
"
0.279",0.573,-0.617,-15.869,-91.064,-85.144
"
0.374",0.563,-0.630,-14.038,-37.354,-84.839
"
0.521",0.594,-0.706,-14.404,10.498,-86.060
"
0.682",0.635,-0.825,-14.832,42.847,-89.417
"
0.776",0.656,-0.980,-15.564,60.181,-96.375
"
0.839",0.703,-1.112,-16.357,65.369,-107.361
"
0.854",0.720,-1.211,-19.409,59.265,-119.324
"
0.833",0.753,-1.226,-26.123,43.030,-132.324
"
0.788",0.780,-1.178,-33.142,29.236,-145.508
"
0.711",0.823,-1.104,-38.879,18.738,-157.898
"
0.642",0.851,-1.030,-41.748,14.099,-166.382
"
0.605",0.854,-0.965,-43.518,18.005,-171.997
"
0.616",0.838,-0.916,-46.143,31.677,-178.223
"
0.656",0.836,-0.891,-51.392,52.856,-185.486
"
0.710",0.862,-0.860,-56.519,73.853,-191.589
"
0.771",0.887,-0.825,-57.617,86.731,-197.449
"
0.802",0.911,-0.812,-56.213,91.187,-205.444
"
0.795",0.918,-0.806,-54.932,91.736,-216.187
"
0.770",0.935,-0.780,-55.420,91.125,-226.196
"
0.729",0.948,-0.719,-56.763,92.041,-233.093
"
0.680",0.966,-0.652,-57.129,95.764,-239.075
"
0.624",0.982,-0.590,-54.321,103.027,-245.117
"
0.564",0.924,-0.559,-46.814,108.948,-250.549
"
0.500",0.840,-0.563,-38.208,110.291,-254.272
"
0.454",0.795,-0.553,-33.508,110.474,-256.470
"
0.412",0.780,-0.559,-31.494,109.497,-259.583
"
0.345",0.779,-0.559,-30.212,110.229,-264.526
"
0.256",0.768,-0.566,-27.832,110.779,-269.226
"
0.187",0.747,-0.624,-24.780,110.596,-274.414
"
0.083",0.668,-0.642,-24.109,108.276,-278.992
"
-0.046",0.625,-0.716,-27.832,94.543,-286.072
"
-0.161",0.621,-0.697,-31.677,97.107,-291.931
"
-0.218",0.659,-0.653,-37.720,107.056,-294.434
"
-0.269",0.698,-0.613,-42.236,112.427,-295.227
"
-0.292",0.767,-0.580,-41.931,112.244,-294.861
"
-0.363",0.775,-0.550,-37.537,105.835,-294.617
"
-0.492",0.710,-0.504,-31.555,97.046,-295.044
"
-0.580",0.669,-0.486,-29.419,86.792,-294.067
"
-0.682",0.666,-0.442,-31.982,80.139,-293.945
"
-0.767",0.713,-0.426,-35.400,74.951,-293.274
"
-0.862",0.714,-0.387,-37.781,69.153,-291.504
"
-1.004",0.755,-0.364,-36.316,61.462,-287.781
"
-1.148",0.709,-0.403,-28.259,53.711,-281.494
"
-1.290",0.628,-0.478,-15.015,48.279,-271.179
"
-1.359",0.554,-0.571,-1.465,45.166,-253.967
"
-1.373",0.485,-0.682,7.751,40.771,-237.610
"
-1.406",0.427,-0.811,12.451,27.710,-226.379
"
-1.402",0.385,-0.907,14.038,6.836,-215.942
"
-1.437",0.366,-0.994,13.733,-19.165,-202.759
"
-1.845",0.256,-1.036,11.841,-45.837,-188.110
"
-1.820",0.279,-1.125,7.568,-64.514,-172.363
"
-1.713",0.283,-1.091,5.310,-63.538,-144.409
"
-2.576",0.128,-1.195,4.089,-59.631,-125.183
"
-3.762",-0.107,-1.197,-5.127,-57.983,-107.483
"
-2.455",-0.262,-1.161,-20.691,-55.176,-65.552
"
-1.276",0.119,-1.290,-13.489,1.953,23.254
"
-0.548",0.413,-1.233,0.610,43.274,53.406
"
-0.473",0.185,-1.117,16.541,11.292,64.880
"
-0.481",0.057,-1.075,15.808,-45.471,63.354
"
-0.494",0.094,-0.844,2.686,-86.243,47.668
"
-0.391",0.149,-0.712,-7.751,-90.942,40.405
"
-0.331",0.177,-0.668,-10.010,-70.496,41.138
